Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2024-11-29  236.758881  237.330002  237.809998  233.970001  234.809998   28481400
2024-12-02  239.013428  239.589996  240.789993  237.160004  237.270004   48137100
2024-12-03  242.066071  242.649994  242.759995  238.899994  239.809998   38861000
2024-12-04  242.425201  243.009995  244.110001  241.250000  242.869995   44383900
2024-12-05  242.455124  243.039993  244.539993  242.130005  243.990005   40033900
2024-12-06  242.255600  242.839996  244.630005  242.080002  242.910004   36870600
2024-12-09  246.156204  246.750000  247.240005  241.750000  241.830002   44649200
2024-12-10  247.173752  247.770004  248.210007  245.339996  246.889999   36914800
2024-12-11  245.896820  246.490005  250.800003  246.259995  247.960007   45205800
2024-12-12  247.363297  247.960007  248.740005  245.679993  246.889999   32777500
2024-12-13  247.532883  248.130005  249.289993  246.240005  247.820007   33155300
2024-12-16  250.435867  251.039993  251.380005  247.649994  247.990005   51694800
2024-12-17  252.869995  253.479996  253.830002  249.779999  250.080002   51356400
2024-12-18  247.453079  248.050003  254.279999  247.740005  252.160004   56774100
2024-12-19  249.188889  249.789993  252.000000  247.089996  247.500000   60882300
2024-12-20  253.877594  254.490005  255.000000  245.690002  248.039993  147495300
2024-12-23  254.655716  255.270004  255.649994  253.449997  254.770004   40858800
2024-12-24  257.578674  258.200012  258.209991  255.289993  255.490005   23234700
2024-12-26  258.396667  259.019989  260.100006  257.630005  258.190002   27237100
2024-12-27  254.974930  255.589996  258.700012  253.059998  257.829987   42355300
2024-12-30  251.593094  252.199997  253.500000  250.750000  252.229996   35557500
2024-12-31  249.817383  250.419998  253.279999  249.429993  252.440002   39480700
2025-01-02  243.263199  243.850006  249.100006  241.820007  248.929993   55740700
2025-01-03  242.774368  243.360001  244.179993  241.889999  243.360001   40244100
2025-01-06  244.410416  245.000000  247.330002  243.199997  244.309998   45045600
2025-01-07  241.627136  242.210007  245.550003  241.350006  242.979996   40856000
2025-01-08  242.115936  242.699997  243.710007  240.050003  241.919998   37628900
2025-01-10  236.280029  236.850006  240.160004  233.000000  240.009995   61710900
2025-01-13  233.835922  234.399994  234.669998  229.720001  233.529999   49630700
2025-01-14  232.718613  233.279999  236.119995  232.470001  234.750000   39435300
2025-01-15  237.297562  237.869995  238.960007  234.429993  234.639999   39832000
2025-01-16  227.710693  228.259995  238.009995  228.029999  237.350006   71759100
2025-01-17  229.426559  229.979996  232.289993  228.479996  232.119995   68488300
2025-01-21  222.104218  222.639999  224.419998  219.380005  224.000000   98070400
2025-01-22  223.291351  223.830002  224.119995  219.789993  219.789993   64126500
2025-01-23  223.121780  223.660004  227.029999  222.300003  224.740005   60234800
2025-01-24  222.243881  222.779999  225.630005  221.410004  224.779999   54697900
2025-01-27  229.306839  229.860001  232.149994  223.979996  224.020004   94863400
2025-01-28  237.686630  238.259995  240.190002  230.809998  230.850006   75707600
2025-01-29  238.783997  239.360001  239.860001  234.009995  234.119995   45486100
2025-01-30  237.018234  237.589996  240.789993  237.210007  238.669998   55658300
2025-01-31  235.432083  236.000000  247.190002  233.440002  247.190002  101075100
2025-02-03  227.461304  228.009995  231.830002  225.699997  229.990005   73063300
2025-02-04  232.239777  232.800003  233.130005  226.649994  227.250000   45067300
2025-02-05  231.910568  232.470001  232.669998  228.270004  228.529999   39620300
2025-02-06  232.658768  233.220001  233.800003  230.429993  231.289993   29925300
2025-02-07  227.082214  227.630005  234.000000  227.259995  232.600006   39707200
2025-02-10  227.351852  227.649994  230.589996  227.199997  229.570007   33115600
2025-02-11  232.315353  232.619995  235.229996  228.130005  228.199997   53718400
2025-02-12  236.559784  236.869995  236.960007  230.679993  231.199997   45243300
2025-02-13  241.213684  241.529999  242.339996  235.570007  236.910004   53614100
2025-02-14  244.279663  244.600006  245.550003  240.990005  241.250000   40896200
2025-02-18  244.149841  244.470001  245.179993  241.839996  244.149994   48822500
2025-02-19  244.549301  244.869995  246.009995  243.160004  244.660004   32204200
2025-02-20  245.508057  245.830002  246.779999  244.289993  244.940002   32316900
2025-02-21  245.228424  245.550003  248.690002  245.220001  245.949997   53197400
2025-02-24  246.776398  247.100006  248.860001  244.419998  244.929993   51326400
2025-02-25  246.716461  247.039993  250.000000  244.910004  248.000000   48013300
2025-02-26  240.045212  240.360001  244.979996  239.130005  244.330002   44433600
2025-02-27  236.989227  237.300003  242.460007  237.059998  239.410004   41153600
2025-02-28  241.523270  241.839996  242.089996  230.199997  236.949997   56833400
2025-03-03  237.718262  238.029999  244.029999  236.110001  241.789993   47184000
2025-03-04  235.621017  235.929993  240.070007  234.679993  237.710007   53798100
2025-03-05  235.431274  235.740005  236.550003  229.229996  235.419998   47227600
2025-03-06  235.021805  235.330002  237.860001  233.160004  234.440002   45170400
2025-03-07  238.756912  239.070007  241.369995  234.759995  235.110001   46273600
